section,metric,unit,period,value,method_source,source_sheet
AVERAGE STORE COUNT,BHX Average Stores,stores,2028E,4409.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,2029E,4859.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,2030E,5209.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,2025A,354.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,3M2026A,395.5,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,5M2026A,399.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,2026E,432.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,2027E,512.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,2028E,567.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,2029E,612.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,An Khang Average Stores,stores,2030E,647.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,2025A,72.5,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,3M2026A,89.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,5M2026A,89.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,2026E,89.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,2027E,100.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,2028E,110.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,2029E,120.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,AVAKids Average Stores,stores,2030E,130.0,,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,2025A,3.0578783407115924,Derived,07_Revenue_Drivers
REVENUE / STORE / MONTH,TGDD / TopZone Rev/Store/Month,VND bn/store/month,3M2026A,3.577492596248766,Derived,07_Revenue_Drivers
